olay,tarih,para_birimi,varlik,varlik_adi,once_volatilite_pct,sonra_volatilite_pct,sonra_getiri_pct,tepki_orani
ABD Tarım Dışı İstihdam (NFP),2026-01-02,USD,EURUSD=X,EUR/USD,0.09384474073941522,0.30548852440481794,0.2468330196024684,3.255254604550379
ABD Tarım Dışı İstihdam (NFP),2026-01-02,USD,GC=F,Altın (Gold Futures),0.9352516390762428,1.0142058642382208,-0.7149665604623113,1.084420301299832
ABD Tarım Dışı İstihdam (NFP),2026-01-02,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.07516644718580696,0.2884960933095179,-0.237702180735963,3.8380967055203876
ABD Enflasyon (CPI),2026-01-13,USD,EURUSD=X,EUR/USD,0.23323673518408525,0.23304947334822856,-0.15149186083625918,0.9991971168876598
ABD Enflasyon (CPI),2026-01-13,USD,GC=F,Altın (Gold Futures),0.9375594817272135,0.7554909047245373,0.17534576591081286,0.805805838934868
FOMC Faiz Kararı,2026-01-28,USD,EURUSD=X,EUR/USD,0.22648070757231806,0.4413184650030453,0.17938143115085425,1.9485918678619762
FOMC Faiz Kararı,2026-01-28,USD,GC=F,Altın (Gold Futures),1.1154855643044619,2.8560640580903107,2.498585224600188,2.5603774261939023
FOMC Faiz Kararı,2026-01-28,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.2249214767666284,0.4668536956144547,-0.268104835719449,2.0756296923074524
ABD Tarım Dışı İstihdam (NFP),2026-02-06,USD,EURUSD=X,EUR/USD,0.17717885057229607,0.1655540257499781,0.08275683074336039,0.9343893202559491
ABD Tarım Dışı İstihdam (NFP),2026-02-06,USD,GC=F,Altın (Gold Futures),1.4052666672301841,1.4661551893575064,0.3210998589696839,1.0433288026729726
ABD Tarım Dışı İstihdam (NFP),2026-02-06,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.15843200045667347,0.1627490716368452,-0.10439961320056541,1.0272487323755806
ABD Enflasyon (CPI),2026-02-13,USD,EURUSD=X,EUR/USD,0.20197170125030914,0.20149121971446143,-0.20149121971446143,0.9976210452609288
ABD Enflasyon (CPI),2026-02-13,USD,GC=F,Altın (Gold Futures),1.059705098985175,1.1423491132788661,-0.16975554538357168,1.0779877480752287
ABD Enflasyon (CPI),2026-02-13,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.23799756311498393,0.20331351982545007,0.19918756481253283,0.8542672335145846
ABD Tarım Dışı İstihdam (NFP),2026-03-06,USD,EURUSD=X,EUR/USD,0.33588150654480453,0.37071244826024174,0.18530982191551848,1.1037000877891172
ABD Tarım Dışı İstihdam (NFP),2026-03-06,USD,GC=F,Altın (Gold Futures),1.2995714014996245,1.8082952588632555,1.1387732226465395,1.3914551034107054
ABD Tarım Dışı İstihdam (NFP),2026-03-06,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.3562979750397139,0.3854936142061308,-0.2063312334682177,1.0819416365281411
ABD Enflasyon (CPI),2026-03-11,USD,EURUSD=X,EUR/USD,0.26645178851052825,0.2553743724935488,-0.03475831808006531,0.9584261900477288
ABD Enflasyon (CPI),2026-03-11,USD,GC=F,Altın (Gold Futures),0.6834414903807378,0.9353179994387508,0.31112158709375715,1.3685414371282836
ABD Enflasyon (CPI),2026-03-11,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.27492348627441543,0.2460926198376106,-0.020175562792014726,0.8951313078867796
FOMC Faiz Kararı,2026-03-18,USD,EURUSD=X,EUR/USD,0.1611952274702421,0.6300087953658091,-0.6300087953658091,3.908358859334801
FOMC Faiz Kararı,2026-03-18,USD,GC=F,Altın (Gold Futures),0.8076076427220691,1.9447661283324207,-1.4565347712852494,2.4080581032857986
FOMC Faiz Kararı,2026-03-18,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.14927076302429446,0.6053538427329438,0.5171520872771472,4.055407974530283
ABD Tarım Dışı İstihdam (NFP),2026-04-03,USD,EURUSD=X,EUR/USD,0.207499525430769,0.14994326219728382,-0.06915210423961318,0.7226197837609586
ABD Enflasyon (CPI),2026-04-10,USD,EURUSD=X,EUR/USD,0.12899247899980465,0.16437357579088321,0.08212068455802647,1.2742880597800756
ABD Enflasyon (CPI),2026-04-10,USD,GC=F,Altın (Gold Futures),0.6233355673865275,0.6485402320888783,0.08132590447449281,1.040435146045054
ABD Enflasyon (CPI),2026-04-10,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.13163052054463517,0.1631600868506794,-0.025336473705618937,1.2395308183511493
FOMC Faiz Kararı,2026-04-29,USD,EURUSD=X,EUR/USD,0.1402451084639956,0.186801605244651,-0.011675100327790688,1.3319652092722194
FOMC Faiz Kararı,2026-04-29,USD,GC=F,Altın (Gold Futures),0.4911612915866399,0.7739148289035254,-0.08551237520791989,1.575683674915592
FOMC Faiz Kararı,2026-04-29,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.14270126758661278,0.2459080183107321,0.1315508688580128,1.723236397752934
ECB Faiz Kararı,2026-04-30,EUR,EURUSD=X,EUR/USD,0.24558744076446387,0.4221909352313429,0.3168342864655229,1.719106375786759
ABD Tarım Dışı İstihdam (NFP),2026-05-01,USD,EURUSD=X,EUR/USD,0.21188704160175403,0.3414540062264427,0.0823989632122582,1.6114907435831416
ABD Tarım Dışı İstihdam (NFP),2026-05-01,USD,GC=F,Altın (Gold Futures),1.0113986339046694,1.653774687961484,0.9127259889748354,1.6351363671283765
ABD Tarım Dışı İstihdam (NFP),2026-05-01,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.20404674947262302,0.30636162592545035,-0.06025010689660761,1.5014286025985184
ABD Enflasyon (CPI),2026-05-12,USD,EURUSD=X,EUR/USD,0.12922818565089042,0.1759697609537829,-0.1173807974266299,1.3616979923339998
ABD Enflasyon (CPI),2026-05-12,USD,GC=F,Altın (Gold Futures),0.5337616939488699,0.8719470639158857,-0.71283301425925,1.6335886853645427
ABD Enflasyon (CPI),2026-05-12,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.11699377914123478,0.1933985129188871,0.0956741760022763,1.6530666360081983
ABD Tarım Dışı İstihdam (NFP),2026-06-05,USD,EURUSD=X,EUR/USD,0.47525421473050555,0.4047604427690251,-0.2428068958516092,0.8516714428267529
ABD Tarım Dışı İstihdam (NFP),2026-06-05,USD,GC=F,Altın (Gold Futures),1.61799394353925,1.7418816631881768,-0.8438606124492329,1.0765687165539883
ABD Tarım Dışı İstihdam (NFP),2026-06-05,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.43549185976397625,0.3613883513259075,0.1897315650276927,0.829839509564586
ABD Enflasyon (CPI),2026-06-10,USD,EURUSD=X,EUR/USD,0.23099388961275433,0.20833567655076193,0.023103693897828428,0.9019099028983955
ABD Enflasyon (CPI),2026-06-10,USD,GC=F,Altın (Gold Futures),1.110186960244193,1.6738160488456875,-0.5515455135699704,1.5076884423840833
ABD Enflasyon (CPI),2026-06-10,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.22020161169619082,0.21116877185167687,-0.031022118090659256,0.9589792291939424
ECB Faiz Kararı,2026-06-11,EUR,EURUSD=X,EUR/USD,0.18452842425994861,0.19582443636955543,-0.18432904619659574,1.06121556695078
FOMC Faiz Kararı,2026-06-17,USD,EURUSD=X,EUR/USD,0.057992916660241284,0.7242218652162074,-0.4141742142344964,12.48810901267738
FOMC Faiz Kararı,2026-06-17,USD,GC=F,Altın (Gold Futures),0.6479114733009854,3.6867031482908437,-2.8025340992794865,5.690134069563229
FOMC Faiz Kararı,2026-06-17,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.07523770868035738,0.9404101390078625,0.751729318944248,12.499186318965869
ABD Tarım Dışı İstihdam (NFP),2026-07-03,USD,EURUSD=X,EUR/USD,0.09167536654268714,0.080097512187722,-0.02289541522173413,0.8737081203861443
ABD Enflasyon (CPI),2026-07-14,USD,EURUSD=X,EUR/USD,0.6074543723972332,0.14893615248862804,0.0,0.2451808057630279
ABD Enflasyon (CPI),2026-07-14,USD,GC=F,Altın (Gold Futures),2.2441761441720653,0.5019588638589618,0.22037218413320275,0.22367177601566895
ABD Enflasyon (CPI),2026-07-14,USD,DX-Y.NYB,Dolar Endeksi (DXY),0.557566618892913,0.14591577084642735,0.0029763272923987102,0.2617010522189316
ECB Faiz Kararı,2026-07-23,EUR,EURUSD=X,EUR/USD,0.25042872934435895,0.19324439046482378,-0.13648414946982082,0.7716542385961546
FOMC Faiz Kararı,2026-07-29,USD,EURUSD=X,EUR/USD,0.19376062720396695,0.5389308643158548,0.4588220591648367,2.7814260930758437
